population,responders_n,non_responders_n,responders_mean_percentage,non_responders_mean_percentage,difference_percentage_points,diff_ci_low_95,diff_ci_high_95,rank_biserial_effect_size,mann_whitney_u,p_value,q_value_fdr_bh,significant_at_q0.05
b_cell,993,975,9.7975526163142,9.996319726153844,-0.19876710983964507,-0.48616416284328684,0.08519012576094014,0.04981847290004393,459971.0,0.05570230973826624,0.1392557743456656,False
cd8_t_cell,993,975,24.88193160120846,24.943924363076928,-0.06199276186846703,-0.4814075862194569,0.3545297718056376,0.012211635293206236,478176.0,0.6390858847346418,0.6390858847346418,False
cd4_t_cell,993,975,30.537808328298087,29.902261796923078,0.6355465313750095,0.18569700645929546,1.0932542374157597,-0.06442740207090658,515276.0,0.01334421881393762,0.0667210940696881,False
nk_cell,993,975,14.84094427693857,15.073166211282052,-0.2322219343434817,-0.5739122078697019,0.11301528752459512,0.040367702119967985,464546.0,0.12105079805790869,0.2017513300965145,False
monocyte,993,975,19.94176317925478,20.084327955897436,-0.14256477664265432,-0.5311359045633249,0.2376909475917578,0.03631058434683809,466510.0,0.16315013268752876,0.20393766585941095,False
